regi_ts,user_id,regi_geo,is_verified,pageviews,follows,likes,reblogs,original_posts,searches,unfollows,received_engagments,regi_device,regi_source
1441083463,100,MY,0,4,9,0,0,0,19,1,0,android,none
1441083503,101,AU,0,3,4,0,0,1,5,0,0,android,none
1441083534,102,US,0,4,3,0,0,0,7,0,0,iphone,none
1441083591,103,CA,1,17,23,0,3,0,5,0,1,web,other
1441083624,104,US,1,6,0,0,0,0,22,0,0,android,none
1441083653,105,PE,0,2,1,0,0,4,0,0,0,iphone,none
1441083693,106,US,1,2,1,0,0,0,1,1,0,iphone,none
1441083735,107,US,0,0,0,0,0,0,0,0,0,iphone,none
1441083766,108,US,0,0,0,0,0,0,0,0,0,android,none
1441083799,109,US,1,2,0,0,0,0,18,0,0,iphone,none
1441083829,110,US,0,122,25,3,20,1,33,0,1,web,login
1441083872,111,US,0,4,0,0,0,10,0,0,0,iphone,none
1441083905,112,US,1,5,0,0,0,0,0,0,1,iphone,none
1441083940,113,US,1,23,6,0,0,1,17,1,0,web,login
1441083974,114,CA,0,3,4,0,0,1,4,0,0,iphone,none
1441084003,115,US,1,34,153,435,86,3,118,0,39,android,none
1441084026,116,US,0,2,0,0,0,0,33,0,0,android,none
1441084062,117,KR,0,2,10,0,0,0,3,0,0,android,none
1441084105,118,JP,1,1,0,0,0,0,2,0,0,android,none
1441084141,119,US,0,1,0,0,0,0,1,0,0,iphone,none
1441084173,120,US,0,3,5,0,0,0,2,1,0,web,web_google
1441084206,121,NP,0,1,0,0,0,0,3,0,0,android,none
1441084270,122,KR,0,2,2,1,0,0,7,0,0,android,none
1441084360,123,CN,0,68,200,244,4,2,36,2,1,android,none
1441084417,124,MX,0,1,0,0,0,0,0,0,0,iphone,none
1441084456,125,BR,0,4,0,0,0,0,0,0,0,iphone,none
1441084519,126,DK,1,1,2,0,0,0,0,0,0,iphone,none
1441084601,127,MY,0,2,0,0,0,0,1,0,0,android,none
1441084661,128,RU,0,5,1,0,0,2,0,0,0,web,login
1441084696,129,IN,1,3,0,0,0,1,0,0,0,web,no_referer
1441084723,130,US,0,1,0,0,0,0,0,0,0,iphone,none
1441084753,131,US,0,6,10,0,0,0,87,0,0,android,none
1441084780,132,NG,0,1,11,0,0,0,0,1,0,android,none
1441084802,133,IN,1,2,0,0,0,1,0,0,0,web,other
1441084862,134,TR,0,1,1,0,0,0,4,0,0,iphone,none
1441084896,135,US,1,2,0,0,0,0,9,0,0,android,none
1441084930,136,BR,0,1,1,0,0,0,1,0,0,web,login
1441084958,137,US,0,2,0,0,0,0,0,0,0,iphone,none
1441085052,138,US,1,2,0,0,0,0,0,0,0,android,none
1441085083,139,CA,1,3,52,1,0,0,65,0,0,android,none
1441085194,140,US,1,1,0,0,0,0,0,0,0,web,login
1441085269,141,ID,0,19,6,0,254,0,0,0,0,web,login
1441085304,142,GB,0,6,12,0,0,0,0,0,0,web,web_google
1441085344,143,US,0,1,0,0,0,0,0,0,0,iphone,none
1441085401,144,US,0,1,5,124,0,0,143,0,0,android,none
1441085422,145,PA,1,4,1,0,0,0,0,0,0,android,none
1441085454,146,DE,0,3,8,1,0,0,10,1,0,web,no_referer
1441085564,147,US,0,40,10,0,0,0,0,0,0,android,none
1441085601,148,US,1,7,0,0,0,0,5,0,0,iphone,none
1441085639,149,HK,1,9,9,15,0,0,15,0,0,web,follow_page_2
1441085669,150,US,1,1,0,0,0,0,0,0,0,android,none
1441085702,151,KR,0,2,0,0,0,0,1,0,0,android,none
1441085723,152,MX,0,9,24,5,0,2,11,0,0,iphone,none
1441085749,153,IN,1,2,1,0,0,0,0,0,0,android,none
1441085782,154,US,1,3,24,0,0,0,12,2,0,web,login
1441085817,155,,0,0,0,0,0,0,0,0,0,android,none
1441085897,156,CL,0,6,1,0,0,1,3,0,0,android,none
1441085924,157,CA,0,1,0,0,0,0,0,0,0,android,none
1441086021,158,US,0,1,0,0,0,0,2,0,0,iphone,none
1441086057,159,US,1,1,0,0,0,0,1,0,0,android,none
1441086084,160,PH,1,3,0,0,0,0,0,0,0,web,login
1441086124,161,ID,0,1,1,0,250,0,0,0,0,web,login
1441086165,162,US,0,1,0,0,0,0,7,0,0,iphone,none
1441086198,163,US,0,1,0,1,0,0,3,0,0,iphone,none
1441086264,164,US,1,4,0,0,0,0,1,0,0,iphone,none
1441086290,165,US,0,11,0,3,0,0,1,0,0,iphone,none
1441086328,166,US,0,1,0,0,0,0,0,0,0,iphone,none
1441086362,167,US,1,1,0,0,0,0,0,0,0,web,web_google
1441086546,168,BR,0,1,0,0,0,0,0,0,0,android,none
1441086585,169,US,0,0,0,0,0,0,0,0,0,android,none
1441086620,170,US,0,4,0,0,0,0,56,0,0,web,no_referer
1441086654,171,MX,0,8,3,8,20,0,42,0,0,web,login
1441086677,172,US,1,5,18,9,0,0,1,0,0,android,none
1441086711,173,US,0,1,0,1,1,0,5,0,0,iphone,none
1441086745,174,ID,0,3,0,0,0,0,0,0,0,android,none
1441086782,175,PH,1,4,0,0,0,3,0,0,0,web,no_referer
1441086806,176,US,0,4,3,0,0,0,20,1,0,web,login
1441086845,177,US,0,2,1,0,0,1,7,0,0,iphone,none
1441086906,178,US,1,2,3,30,29,0,1,0,0,iphone,none
1441086938,179,KR,0,0,1,0,0,0,0,0,0,web,login
1441086976,180,,1,0,0,0,0,0,0,0,0,web,web_google
1441087011,181,BR,0,5,1,0,0,0,11,0,0,android,none
1441087046,182,PE,1,2,7,0,0,1,4,0,0,android,none
1441087081,183,IN,1,25,0,0,0,2,0,0,0,web,no_referer
1441087114,184,US,1,14,7,1,12,1,7,0,0,android,none
1441087180,185,MY,0,6,0,0,0,2,0,0,0,android,none
1441087208,186,US,0,2,0,0,0,0,3,0,0,web,login
1441087242,187,US,1,1,0,0,0,0,0,0,0,android,none
1441087274,188,KR,0,26,1,0,0,0,0,0,0,web,no_referer
1441087305,189,US,0,1,0,0,0,0,2,0,0,iphone,none
1441087381,190,US,1,33,3,0,6,0,46,0,0,web,login
1441087420,191,SA,0,2,0,0,0,0,38,0,0,android,none
1441087460,192,PH,0,1,0,0,0,0,17,0,0,iphone,none
1441087500,193,US,0,7,1,11,1,2,2,0,0,web,iframe_follow
1441087535,194,GB,0,2,0,1,0,0,7,0,0,iphone,none
1441087566,195,MY,0,2,4,0,0,0,2,0,0,iphone,none
1441087600,196,SG,0,7,8,0,0,1,6,1,0,web,iframe_logo
1441087632,197,JP,1,1,16,0,0,0,0,0,0,web,login
1441087661,198,MY,0,1,0,1,0,0,9,0,0,iphone,none
1441087765,199,CA,0,6,5,6,0,3,3,0,0,iphone,none
1441087793,200,US,1,2,0,0,0,0,0,0,0,web,no_referer
1441087848,201,IN,0,1,0,0,0,0,3,0,0,web,login
1441087876,202,US,0,9,6,0,0,0,8,0,0,web,follow
1441087912,203,IN,1,18,6,1,0,1,0,0,0,web,login
1441087990,204,ES,1,1,0,0,0,0,20,0,0,android,none
1441088023,205,SA,0,4,1,2,1,0,0,0,0,iphone,none
1441088057,206,ID,1,23,0,0,0,11,0,0,0,web,no_referer
1441088085,207,US,1,1,0,0,0,0,0,0,0,android,none
1441088123,208,GB,0,1,0,0,0,0,65,0,0,web,web_google
1441088203,209,US,0,9,28,5,6,0,16,0,1,iphone,none
1441088233,210,AU,0,4,3,1,0,0,3,0,0,iphone,none
1441088280,211,MX,0,7,9,0,0,1,11,0,0,android,none
1441088346,212,MX,0,2,2,0,0,0,0,0,0,android,none
1441088389,213,US,1,1,0,19,0,0,0,0,0,web,login
1441088432,214,TR,1,5,14,0,0,0,17,0,0,web,follow
1441088461,215,NL,1,0,2,0,0,0,0,0,0,web,no_referer
1441088498,216,KH,0,2,0,0,0,0,0,0,0,web,login
1441088543,217,NZ,0,1,0,1,0,0,0,0,0,android,none
1441088587,218,,1,0,0,0,0,0,0,0,0,android,none
1441088628,219,US,0,16,19,47,2,2,0,0,3,web,web_google
1441088671,220,NZ,1,4,1,0,0,12,0,0,0,web,no_referer
1441088711,221,MX,0,3,3,1,0,0,8,0,0,android,none
1441088739,222,SA,0,0,0,0,0,0,0,0,0,iphone,none
1441088780,223,ZA,0,5,1,0,0,1,0,0,0,android,none
1441088812,224,US,1,2,0,0,0,0,0,0,0,web,no_referer
1441088919,225,IN,0,1,0,0,0,0,4,0,0,web,login
1441088945,226,US,0,1,1,0,0,0,143,0,0,web,tagged_signup
1441089026,227,AT,0,1,1,0,0,0,12,0,0,android,none
1441089083,228,KR,1,18,0,0,2,3,0,0,4,iphone,none
1441089114,229,GB,1,1,0,0,0,0,0,0,0,web,no_referer
1441089149,230,QA,0,1,0,0,0,0,22,0,0,android,none
1441089177,231,ID,0,1,0,0,235,0,0,0,0,web,login
1441089214,232,US,0,2,6,0,0,0,0,0,0,web,login
1441089255,233,TR,0,7,6,0,0,0,6,0,0,web,no_referer
1441089290,234,US,1,5,1,0,0,0,0,1,0,web,other
1441089314,235,PH,0,3,0,0,0,0,0,0,0,web,other
1441089351,236,SG,1,9,12,2,11,0,2,0,0,web,login
1441089393,237,CR,0,3,0,0,0,0,6,0,0,android,none
1441089429,238,KR,0,8,2,0,0,0,53,0,0,android,none
1441089453,239,GR,0,2,0,0,0,0,0,0,0,web,web_google
1441089484,240,US,1,0,0,0,0,0,0,0,0,web,no_referer
1441089521,241,US,0,1,0,12,2,0,12,0,0,android,none
1441089548,242,VN,0,2,6,0,0,0,0,0,0,web,login
1441089582,243,US,0,1,0,0,0,0,0,0,0,web,no_referer
1441089614,244,TR,0,2,3,9,0,0,0,0,1,web,login
1441089648,245,US,1,0,0,0,0,0,0,0,0,web,no_referer
1441089756,246,IT,0,2,6,0,0,0,7,0,0,android,none
1441089841,247,UA,1,0,0,0,0,0,0,0,0,web,no_referer
1441089881,248,ID,1,5,0,1,0,0,1,0,0,android,none
1441089967,249,US,1,1,0,0,0,0,0,0,0,web,login
1441090049,250,KW,0,3,0,0,0,0,0,0,0,iphone,none
1441090090,251,MX,1,1,0,0,0,0,2,0,0,android,none
1441090115,252,US,1,1,1,0,0,0,0,0,0,web,login
1441090150,253,NL,0,3,0,0,0,0,0,0,0,web,other
1441090209,254,US,1,3,0,0,0,0,0,0,0,android,none
1441090238,255,US,0,9,1,0,0,0,21,0,0,android,none
1441090270,256,UA,1,0,0,0,0,0,0,0,0,web,no_referer
1441090301,257,KR,0,2,0,0,0,0,2,0,0,iphone,none
1441090341,258,VN,0,1,1,0,0,0,1,0,0,iphone,none
1441090374,259,,0,0,0,0,0,0,0,0,0,web,no_referer
1441090404,260,,0,0,0,0,0,0,0,0,0,web,explore
1441090449,261,VN,1,3,0,0,0,1,0,0,0,web,no_referer
1441090515,262,KR,0,1,0,0,0,0,1,0,0,iphone,none
1441090586,263,MY,0,3,2,0,0,0,45,0,0,android,none
1441090656,264,US,1,0,0,0,0,0,0,0,0,android,none
1441090683,265,IT,0,27,42,0,0,0,5,0,0,web,web_google
1441090732,266,ID,0,2,1,0,0,0,0,0,0,web,follow
1441090818,267,US,0,1,1,0,0,0,0,0,0,web,tumblelog_like
1441090899,268,RU,1,0,0,0,0,0,0,0,0,web,no_referer
1441090931,269,PL,0,2,2,0,0,0,3,0,0,web,follow_page_2
1441090966,270,IN,1,5,0,0,0,0,0,0,0,web,web_google
1441090992,271,TR,0,3,2,1,0,0,0,0,0,iphone,none
1441091029,272,PK,1,5,0,0,0,0,0,0,0,web,no_referer
1441091062,273,TR,0,0,0,0,0,0,0,0,0,android,none
1441091114,274,SA,1,1,2,0,0,0,11,0,0,android,none
1441091150,275,VN,0,0,2,0,0,0,0,0,0,web,follow_page_2
1441091189,276,PH,1,2,0,0,0,0,0,0,0,web,no_referer
1441091231,277,GB,0,0,1,0,0,0,0,1,0,android,none
1441091268,278,ID,1,53,5,0,0,52,0,0,0,web,no_referer
1441091300,279,TR,0,0,1,0,0,0,0,0,0,iphone,none
1441091336,280,PH,0,2,0,0,0,0,0,0,0,web,other
1441091374,281,US,0,5,0,0,1,0,1,0,0,android,none
1441091408,282,US,1,4,0,0,0,0,0,0,0,iphone,none
1441091469,283,US,0,3,0,0,0,0,5,0,0,web,login
1441091508,284,AR,0,1,1,0,0,0,0,0,0,web,other
1441091547,285,BN,1,1,5,0,0,0,23,0,0,web,tagged_signup
1441091581,286,FR,0,0,1,0,0,0,0,0,0,web,other
1441091617,287,,0,0,0,0,0,0,0,0,0,web,no_referer
1441091655,288,US,1,3,0,0,0,0,0,0,0,android,none
1441091730,289,US,0,1,0,0,0,0,20,0,0,web,login
1441091770,290,US,1,8,2,2,1,1,11,0,1,iphone,none
1441091813,291,AE,0,3,2,1,1,0,3,0,0,iphone,none
1441091850,292,US,0,7,1,2,0,0,54,1,0,android,none
1441091882,293,US,1,17,0,0,0,4,0,0,0,web,login
1441091924,294,AU,1,1,8,2,1,0,0,2,0,web,follow
1441091953,295,US,1,1,33,2,2,0,5,0,0,iphone,none
1441091985,296,US,0,3,0,19,6,0,7,0,1,android,none
1441092007,297,UA,1,4,0,0,0,2,0,0,0,web,no_referer
1441092082,298,FI,0,3,5,2,0,0,0,0,0,android,none
1441092127,299,KR,0,3,1,0,0,1,0,0,0,web,login
1441092158,300,AU,1,4,1,1,0,0,4,0,0,web,web_google
1441092276,301,PL,1,5,1,0,0,0,0,0,0,web,login
1441092322,302,DE,0,2,1,0,0,0,0,0,0,android,none
1441092355,303,KR,0,23,199,0,0,0,0,2,0,android,none
1441092389,304,KR,0,1,3,6,0,0,3,0,0,android,none
1441092430,305,DE,1,2,2,0,0,0,0,0,0,web,follow_page_2
1441092478,306,US,0,2,0,0,0,0,2,0,0,iphone,none
1441092532,307,ES,1,10,10,0,0,0,7,0,0,web,other
1441092571,308,US,0,2,0,0,0,0,19,0,0,web,login
1441092612,309,DE,0,3,3,16,0,0,0,0,0,iphone,none
1441092646,310,VE,0,0,0,0,0,0,3,0,0,android,none
1441092678,311,KR,0,4,1,0,0,0,33,0,0,android,none
1441092715,312,IN,0,5,5,6,0,1,0,0,0,web,no_referer
1441092755,313,IT,0,1,0,0,0,0,0,0,0,android,none
1441092787,314,NL,0,1,0,0,0,0,0,0,0,web,other
1441092814,315,NG,0,12,25,11,28,5,48,0,2,android,none
1441092857,316,MY,0,3,0,0,0,0,0,0,0,android,none
1441092903,317,FR,0,1,0,0,0,0,0,0,0,iphone,none
1441092937,318,US,0,1,0,1,0,1,0,0,0,android,none
1441092986,319,AU,0,2,0,0,0,0,12,0,0,android,none
1441093070,320,IT,1,9,2,0,0,1,2,0,0,web,login
1441093182,321,,0,0,0,0,0,0,0,0,0,android,none
1441093213,322,PH,0,15,8,13,0,0,7,1,0,web,follow
1441093249,323,US,1,2,28,0,0,0,0,1,0,web,login
1441093284,324,,0,0,0,0,0,0,0,0,0,android,none
1441093319,325,MY,0,3,1,0,0,0,10,0,0,web,web_google
1441093339,326,PH,1,3,44,0,0,0,9,2,0,web,login
1441093372,327,IT,1,1,0,0,0,0,0,0,0,iphone,none
1441093405,328,JP,0,1,0,0,0,0,0,0,0,iphone,none
1441093439,329,ID,0,1,1,1,250,0,0,0,1,web,no_referer
1441093471,330,VN,0,1,1,0,0,0,0,0,0,iphone,none
1441093493,331,VN,0,4,1,0,0,0,6,0,0,android,none
1441093529,332,CA,1,8,1,0,0,0,3,0,0,iphone,none
1441093567,333,,1,0,0,0,0,0,0,0,0,web,no_referer
1441093640,334,US,1,4,17,0,0,0,0,5,0,web,follow_page_2
1441093671,335,FR,1,1,0,0,0,0,3,0,0,android,none
1441093710,336,US,0,8,19,1,0,0,14,0,0,android,none
1441093739,337,JP,1,12,8,0,0,0,0,0,0,web,other
1441093760,338,DE,0,5,8,2,0,8,0,0,2,android,none
1441093849,339,BR,0,5,0,0,0,1,11,0,0,android,none
1441093877,340,IN,1,3,0,0,0,1,0,0,0,web,no_referer
1441093925,341,HK,0,55,53,135,0,0,35,1,1,web,login
1441093991,342,DE,0,0,2,0,0,0,0,2,0,android,none
1441094040,343,CO,1,7,11,0,0,0,0,0,0,android,none
1441094094,344,IN,0,1,2,1,0,1,3,0,2,android,none
1441094139,345,US,0,4,0,0,0,0,5,0,0,android,none
1441094182,346,US,0,11,4,0,0,0,41,0,0,web,login
1441094220,347,US,1,2,0,0,0,0,0,0,0,web,no_referer
1441094258,348,AU,1,15,7,0,1,2,2,0,0,web,login
1441094297,349,CA,0,2,1,0,0,0,0,0,0,iphone,none
1441094334,350,ZA,0,3,3,1,0,0,4,0,0,android,none
1441094374,351,US,1,2,0,0,0,0,11,0,0,android,none
1441094401,352,GR,0,3,8,0,0,0,1,0,0,iphone,none
1441094441,353,IL,0,0,0,0,0,0,1,0,0,iphone,none
1441094473,354,,0,0,0,0,0,0,0,0,0,web,other
1441094517,355,SE,0,4,2,0,0,0,8,0,0,android,none
1441094547,356,PE,0,3,0,0,0,0,0,0,0,android,none
1441094582,357,SK,0,2,5,0,0,0,8,0,0,android,none
1441094668,358,IT,0,2,0,0,0,0,0,0,0,android,none
1441094710,359,GB,1,8,7,0,0,0,2,0,0,web,login
1441094748,360,PH,0,1,0,0,0,0,1,0,0,android,none
1441094820,361,GR,0,5,0,0,0,7,0,0,0,android,none
1441094857,362,US,0,3,8,10,0,0,9,8,0,android,none
1441094893,363,BA,0,33,0,0,0,8,0,0,0,web,web_google
1441094932,364,KR,0,2,1,0,0,0,9,0,0,web,login
1441094978,365,US,0,1,1,1,1,0,5,0,0,iphone,none
1441095011,366,CA,1,18,6,1,3,0,1,0,0,iphone,none
1441095057,367,IT,0,1,0,0,0,0,6,0,0,android,none
1441095106,368,TR,0,6,4,0,0,0,43,1,0,android,none
1441095148,369,AU,0,1,0,0,0,0,0,0,0,iphone,none
1441095188,370,,1,0,0,0,0,0,0,0,0,web,no_referer
1441095227,371,,0,0,0,0,0,0,0,0,0,web,login
1441095272,372,US,1,0,0,0,0,0,0,0,0,web,no_referer
1441095305,373,GB,1,6,0,0,0,0,0,0,0,iphone,none
1441095351,374,PH,1,1,0,0,0,0,0,0,0,android,none
1441095372,375,VN,0,2,2,1,0,0,1,0,0,iphone,none
1441095405,376,FR,0,1,1,0,0,0,3,0,0,iphone,none
1441095446,377,KR,0,45,3,0,0,0,2,1,0,web,login
1441095499,378,TR,0,3,4,5,0,0,2,0,0,android,none
1441095534,379,EG,0,2,19,5,7,0,0,0,0,iphone,none
1441095576,380,GB,1,15,21,1,1,0,3,1,0,web,login
1441095623,381,TR,0,10,8,0,0,1,12,0,0,web,follow_page_2
1441095662,382,RU,1,0,0,0,0,0,0,0,0,web,no_referer
1441095736,383,ES,0,0,0,0,0,0,0,0,0,android,none
1441095813,384,US,0,1,0,1,0,0,5,0,0,iphone,none
1441095853,385,KR,0,0,1,0,0,0,0,0,0,web,login
1441095921,386,US,0,3,0,0,0,0,0,0,0,android,none
1441095953,387,TR,0,5,0,1,0,0,12,0,0,android,none
1441095996,388,,0,0,0,0,0,0,0,0,0,android,none
1441096030,389,JO,0,9,8,0,0,0,41,0,0,android,none
1441096065,390,FR,1,7,0,0,0,0,73,0,0,web,login
1441096101,391,AU,1,1,0,0,0,0,2,0,0,web,web_google
1441096139,392,KR,0,2,0,0,0,0,17,0,0,iphone,none
1441096189,393,KR,0,2,1,0,0,0,0,1,0,android,none
1441096213,394,HR,1,6,0,0,0,0,20,0,0,android,none
1441096245,395,US,1,3,0,0,0,0,10,0,0,web,login
1441096288,396,TR,0,2,6,0,0,0,3,0,0,iphone,none
1441096327,397,IT,0,10,7,17,1,1,1,0,0,web,web_google
1441096401,398,,0,0,0,0,0,0,0,0,0,android,none
1441096436,399,KR,0,1,1,0,0,0,1,0,0,android,none
1441096501,400,EG,0,1,0,0,0,0,3,0,0,web,web_google
1441096531,401,TR,0,2,0,0,0,0,10,0,0,iphone,none
1441096573,402,GB,0,4,40,2,0,0,0,0,0,android,none
1441096607,403,GB,0,2,0,0,0,0,3,0,0,iphone,none
1441096641,404,,0,0,0,0,0,0,0,0,0,android,none
1441096671,405,US,0,4,4,16,1,0,3,0,0,android,none
1441096711,406,IT,0,3,1,2,0,0,1,0,0,android,none
1441096758,407,KR,0,2,0,0,0,0,9,0,0,android,none
1441096797,408,DE,0,1,1,0,0,0,2,0,0,android,none
1441096827,409,US,0,5,17,0,0,0,23,0,0,web,login
1441096919,410,GB,0,5,6,2,0,0,0,1,0,web,web_google
1441097009,411,,0,0,0,0,0,0,0,0,0,android,none
1441097045,412,US,0,1,1,1,0,0,0,1,1,iphone,none
1441097076,413,TR,0,10,10,53,38,1,5,0,0,iphone,none
1441097115,414,TR,0,9,15,24,16,0,10,0,0,android,none
1441097178,415,ID,0,2,0,0,0,0,0,0,0,web,no_referer
1441097209,416,TW,0,1,1,0,0,0,0,0,0,iphone,none
1441097255,417,BR,0,3,1,0,0,0,13,0,0,web,login
1441097279,418,IN,1,8,6,0,0,1,0,0,0,web,explore
1441097318,419,TW,1,1,1,0,0,0,0,0,0,web,login
1441097352,420,US,1,4,1,0,0,2,0,0,0,web,login
1441097377,421,,0,0,0,0,0,0,0,0,0,android,none
1441097404,422,DE,0,0,1,0,0,0,0,0,0,web,other
1441097431,423,JP,1,3,1,0,0,1,0,1,0,web,no_referer
1441097461,424,KR,1,2,1,0,0,0,0,1,0,web,no_referer
